,id,views,likes,comments,shares
0,https://www.tiktok.com/@techroastshow/video/7123653984539151662,54.3K,3209,36,66
1,https://www.tiktok.com/@techroastshow/video/7123604961455295786,24.2K,1447,21,59
2,https://www.tiktok.com/@techroastshow/video/7123333264617590059,45.7K,2043,12,90
3,https://www.tiktok.com/@techroastshow/video/7123289722926976302,134.7K,10.3K,85,741
4,https://www.tiktok.com/@techroastshow/video/7122615236158360878,204.6K,19.3K,125,663
5,https://www.tiktok.com/@techroastshow/video/7122242718759423278,263.1K,25.1K,189,1308
6,https://www.tiktok.com/@techroastshow/video/7121833804259396910,27.2K,1243,20,51
7,https://www.tiktok.com/@techroastshow/video/7120739128152526126,59.3K,4896,64,116
8,https://www.tiktok.com/@techroastshow/video/7120298637778767146,75.8K,3214,56,266
9,https://www.tiktok.com/@techroastshow/video/7120027176593788203,388.6K,26.7K,330,4644
10,https://www.tiktok.com/@techroastshow/video/7119649381623549230,348K,27.6K,134,933
11,https://www.tiktok.com/@techroastshow/video/7119222758487412014,210.9K,15.1K,95,454
12,https://www.tiktok.com/@techroastshow/video/7118108785410837802,76.7K,6004,35,99
13,https://www.tiktok.com/@techroastshow/video/7117747994467847467,338.1K,26.8K,174,745
14,https://www.tiktok.com/@techroastshow/video/7117361019139362094,216K,17.5K,78,246
15,https://www.tiktok.com/@techroastshow/video/7117121356398972202,80.4K,3171,11,37
